userId,age,testDate,session0_level0_circle_count,session0_level0_mean_speed,session0_level0_sd_speed,session0_level0_mean_completion_time,session0_level0_sd_completion_time,session0_level0_stars_collected_last_attempt,session0_level0_stars_collected_mean,session0_level0_stars_collected_SD,session0_level0_stars_collected_max,session1_level1_attempts,session1_level1_mean_completion_time,session1_level1_sd_completion_time,session1_level1_completion_time_last_attempt,session1_level1_mean_speed,session1_level1_sd_speed,session1_level1_mean_distance_from_centre,session1_level1_sd_distance_from_centre,session1_level1_lives_lost,session1_level1_stars_collected_last_attempt,session1_level1_stars_collected_mean,session1_level1_stars_collected_SD,session1_level1_stars_collected_max,session1_level1_first_attempt_zoneSelected,session1_level1_last_attempt_zoneSelected,session1_level2_attempts,session1_level2_mean_completion_time,session1_level2_sd_completion_time,session1_level2_completion_time_last_attempt,session1_level2_mean_speed,session1_level2_sd_speed,session1_level2_mean_distance_from_centre,session1_level2_sd_distance_from_centre,session1_level2_lives_lost,session1_level2_stars_collected_last_attempt,session1_level2_stars_collected_mean,session1_level2_stars_collected_SD,session1_level2_stars_collected_max,session1_level2_first_attempt_zoneSelected,session1_level2_last_attempt_zoneSelected,session1_level3_attempts,session1_level3_mean_completion_time,session1_level3_sd_completion_time,session1_level3_completion_time_last_attempt,session1_level3_mean_speed,session1_level3_sd_speed,session1_level3_stars_collected_last_attempt,session1_level3_stars_collected_mean,session1_level3_stars_collected_SD,session1_level3_stars_collected_max,session1_level6_attempts,session1_level6_mean_completion_time,session1_level6_sd_completion_time,session1_level6_completion_time_last_attempt,session1_level6_mean_speed,session1_level6_sd_speed,session1_level6_stars_collected_last_attempt,session1_level6_stars_collected_mean,session1_level6_stars_collected_SD,session1_level6_stars_collected_max,session1_level7_attempts,session1_level7_mean_completion_time,session1_level7_sd_completion_time,session1_level7_completion_time_last_attempt,session1_level7_mean_speed,session1_level7_sd_speed,session1_level7_mean_distance_from_centre,session1_level7_sd_distance_from_centre,session1_level7_lives_lost,session1_level7_stars_collected_last_attempt,session1_level7_stars_collected_mean,session1_level7_stars_collected_SD,session1_level7_stars_collected_max,session1_level7_first_attempt_zoneSelected,session1_level7_last_attempt_zoneSelected,session2_level1_attempts,session2_level1_mean_completion_time,session2_level1_sd_completion_time,session2_level1_completion_time_last_attempt,session2_level1_mean_speed,session2_level1_sd_speed,session2_level1_mean_distance_from_centre,session2_level1_sd_distance_from_centre,session2_level1_lives_lost,session2_level1_first_attempt_zoneSelected,session2_level1_last_attempt_zoneSelected,session2_level2_attempts,session2_level2_mean_completion_time,session2_level2_sd_completion_time,session2_level2_completion_time_last_attempt,session2_level2_mean_speed,session2_level2_sd_speed,session2_level2_mean_distance_from_centre,session2_level2_sd_distance_from_centre,session2_level2_lives_lost,session2_level2_first_attempt_zoneSelected,session2_level2_last_attempt_zoneSelected,session2_level3_attempts,session2_level3_mean_completion_time,session2_level3_sd_completion_time,session2_level3_completion_time_last_attempt,session2_level3_mean_speed,session2_level3_sd_speed,session2_level3_mean_distance_from_centre,session2_level3_sd_distance_from_centre,session2_level3_lives_lost,session2_level3_first_attempt_zoneSelected,session2_level3_last_attempt_zoneSelected,session2_level4_attempts,session2_level4_bananas_collected_mean,session2_level4_bananas_collected_SD,session2_level4_first_attempt_zoneSelected,session2_level4_last_attempt_zoneSelected,session2_level5_attempts,session2_level5_distance_from_target_mean,session2_level5_distance_from_target_sd,session2_level5_completion_time_mean,session2_level5_first_attempt_zoneSelected,session2_level5_last_attempt_zoneSelected,session2_level6_attempts,session2_level6_distance_from_target_mean,session2_level6_distance_from_target_sd,session2_level6_completion_time_mean,session2_level6_first_attempt_zoneSelected,session2_level6_last_attempt_zoneSelected,session3_level1_first_attempt_fish_collected,session3_level1_first_attempt_fish_missed,session3_level1_first_attempt_jellyfish_collected,session3_level1_first_attempt_jellyfish_missed,session3_level1_first_attempt_missclicks,session3_level1_first_attempt_completion_time,session3_level1_first_attempt_zoneSelected,session3_level1_last_attempt_zoneSelected,session3_level1_other_attempts_fish_collected_mean,session3_level1_other_attempts_fish_collected_sd,session3_level1_other_attempts_fish_missed_mean,session3_level1_other_attempts_fish_missed_sd,session3_level1_other_attempts_jellyfish_collected_mean,session3_level1_other_attempts_jellyfish_collected_sd,session3_level1_other_attempts_jellyfish_missed_mean,session3_level1_other_attempts_jellyfish_missed_sd,session3_level1_other_attempts_missclicks_mean,session3_level1_other_attempts_missclicks_sd,session3_level1_other_attempts_completion_time_mean,session3_level1_other_attempts_completion_time_sd,session3_level1_other_attempts_count,session3_level2_distance_from_target_mean,session3_level2_distance_from_target_sd,session3_level2_completion_time,session3_level3_first_attempt_zoneSelected,session3_level5_distance_from_target_mean,session3_level5_distance_from_target_sd,session3_level5_completion_time,session3_level5_fish_collected,session3_level5_fish_missed,session3_level5_missclicks,session3_level7_distance_from_target_mean,session3_level7_distance_from_target_sd,session3_level7_fish_collected_mean,session3_level7_fish_collected_sd,session3_level7_fish_missed_mean,session3_level7_fish_missed_sd,session3_level7_jellyfish_collected_mean,session3_level7_jellyfish_collected_sd,session3_level7_jellyfish_missed_mean,session3_level7_jellyfish_missed_sd,session3_level7_missclicks_mean,session3_level7_missclicks_sd,session3_level7_completion_time_mean,session3_level7_completion_time_sd,session3_level7_attempts,session3_level7_first_attempt_zoneSelected,session3_level7_last_attempt_zoneSelected,session3_level8_first_attempt_completion_time,session3_level6_first_attempt_zoneSelected,session3_level8_second_attempt_completion_time,session3_level8_second_attempt_continue_clicks,session3_level9_distance_from_target_mean,session3_level9_distance_from_target_sd,session3_level9_fish_collected,session3_level9_fish_missed,session3_level9_jellyfish_collected,session3_level9_jellyfish_missed,session3_level9_missclicks,session3_level9_completion_time
George1,24,30/06/2021,1,,,,,,,,,2,1300,565.6854,900,35.07658,36.42491,0.6733972,0.8613742,3,6,4.5,2.12132,6,green,,1,1500,0,1500,38.08006,11.77943,0.3464664,0.321713,0,5,5,0,5,,,1,800,0,800,28.76609,12.37102,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George2,24,30/06/2021,,,,,,,,,,1,1300,0,1300,26.01397,23.21205,0.4030771,0.3043952,0,6,6,0,6,,,1,1900,0,1900,29.32143,10.64118,0.3715208,0.3091403,0,5,5,0,5,,,1,900,0,900,23.33571,6.196384,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George3,23,30/06/2021,,,,,,,,,,1,700,0,700,48.60281,26.02475,0.4114291,0.2271146,0,6,6,0,6,,,1,1200,0,1200,44.09983,18.23143,0.3590109,0.3043251,0,5,5,0,5,,,1,700,0,700,36.40835,15.01146,4,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,3300,0,3300,22.64762,19.41528,0.5875978,0.6659582,0,6,6,0,6,orange,,1,4400,0,4400,13.55518,9.98635,0.5614623,0.369994,1,5,5,0,5,,,1,28900,0,28900,24.63081,27.22078,34,34,0,34,1,37500,0,37500,17.10583,26.81219,34,34,0,34,1,41100,0,41100,9.812038,20.15934,0.4712576,0.3764156,1,42,42,0,42,green,,1,6000,0,6000,4.913729,3.657389,0.2477912,0.2314011,0,,,1,5800,0,5800,4.866781,3.242078,0.267166,0.2488277,0,red,,3,12200,3700,15500,5.442297,9.979627,0.4662685,0.3382942,7,red,green,4,26,3.366502,green,red,1,16206.62,16174.23,,green,red,4,20763.29,20701.11,,red,red,10,0,0,5,0,37.80036,green,red,10,0,0,0,0,0,3,0,0,0,45.14982,0,1,5157.595,5111.068,19.84026,green,6677.717,6625.456,22.9334,4,2,2,14087.68,14070,10,0,2,0,1,0,6,0,1,0,47.83394,0,1,green,red,294.1203,,0,0,40969.01,40952.75,20,3,0,25,2,151.1019
SR21,5,04/07/2021,3,,,,,,,,,1,5200,0,5200,6.814887,9.49966,0.3084613,0.2497797,0,6,6,0,6,,,1,5800,0,5800,9.639965,11.59476,0.6387066,0.3471487,0,5,5,0,5,,,1,31500,0,31500,15.36607,19.31993,34,34,0,34,1,48400,0,48400,8.036568,12.9226,46,46,0,46,1,35900,0,35900,6.888938,7.709104,0.580256,0.4533173,0,28,28,0,28,,,1,11200,0,11200,2.607229,3.581732,0.1520749,0.1842846,0,,,1,19400,0,19400,2.019194,3.892727,0.3673289,0.3135581,1,,,1,35800,0,35800,1.654321,3.983136,0.457076,0.3416715,1,,,,,,green,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr22,5,11/9/15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989888888,8,301012,3,,,,,,,,,1,4400,0,4400,9.666238,8.234034,0.9420863,0.7913955,0,6,6,0,6,,,1,5300,0,5300,10.27984,9.497107,0.5616642,0.4222841,0,5,5,0,5,,,1,27300,0,27300,11.88681,14.14304,34,34,0,34,1,30800,0,30800,7.617348,7.681026,34,34,0,34,1,34400,0,34400,8.927238,12.48355,0.6106398,0.5109326,1,33,33,0,33,,,1,6900,0,6900,4.473638,3.199135,0.3182045,0.2499937,0,,,1,8700,0,8700,3.995312,2.532944,1.016721,0.643775,0,,,1,18100,0,18100,4.592309,10.20321,0.8470542,0.7354981,2,,,7,20.42857,9.675694,green,green,3,11143.82,11081.75,,green,green,1,33814.15,33780.36,,,,6,0,1,5,0,36.75099,green,,10,0,0,0,1,0,14,0,0,0,70.0322,0,1,2057.74,2007.508,7.239994,green,1465.094,1367.174,2.633999,0,0,0,10387.66,10373.63,10,0,1,0,0,0,4,0,1,0,44.43344,0,1,,,459.5663,,,,21715.45,21687.29,3,2,0,0,1,13.65001
1001,,,6,,,,,,,,,1,4300,0,4300,23.92733,50.22729,0.4939535,0.5303613,1,11,11,0,11,,,1,3100,0,3100,18.20016,11.37789,0.6171072,0.3279248,0,5,5,0,5,,,1,10700,0,10700,19.5843,12.0549,34,34,0,34,1,9700,0,9700,22.736,13.83318,34,34,0,34,1,25800,0,25800,13.80088,15.74302,0.4132507,0.3552682,1,35,35,0,35,,,1,6700,0,6700,5.667075,2.759527,0.2105072,0.2077785,0,,,1,9400,0,9400,4.203755,2.327075,0.4605814,0.230278,0,,,2,16500,424.2641,16200,4.286515,8.383006,0.3785881,0.2808635,3,orange,,1,30,0,,,1,11421.47,11398.65,,,,1,4530.073,4502.756,,,,15,11,0,24,10,134.5644,,,,,,,,,,,,,,,,3614.103,3586.256,22.88033,orange,4058.689,4020.11,18.73199,5,0,2,5886.668,5877.3,10,0,0,0,1,0,2,0,0,0,37.72996,0,1,,,58.59853,,337.2493,0,24335.74,24324.23,20,4,2,12,5,126.9248
9574,8,22/06/2013,,,,,,,,,,1,3000,0,3000,11.70545,16.73271,0.2542223,0.2072386,0,6,6,0,6,,,1,6700,0,6700,21.48705,40.93387,0.7070217,0.5445374,1,9,9,0,9,,,1,6200,0,6200,13.26244,16.47038,9,9,0,9,1,29400,0,29400,12.81546,19.04365,49,49,0,49,1,46600,0,46600,6.382406,12.28789,0.4642181,0.4538673,1,35,35,0,35,,,1,9200,0,9200,3.5807,4.092463,0.3537965,0.2513531,1,,,2,10050,212.132,9900,3.940201,7.853514,0.4675756,0.3711317,3,orange,,1,17900,0,17900,4.121894,9.272934,0.396412,0.3494556,1,,,6,25.66667,3.141125,orange,green,5,14582.23,14461.4,,green,orange,,,,,orange,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESTACooze,4,11/07/21,6,,,,,,,,,1,6500,0,6500,5.581438,4.021242,0.129475,0.0777133,0,6,6,0,6,,,1,7000,0,7000,8.26787,6.625837,0.2806654,0.2011645,0,5,5,0,5,,,1,13500,0,13500,10.57389,11.35026,23,23,0,23,1,20100,0,20100,11.62947,11.27606,34,34,0,34,1,44600,0,44600,5.870321,5.144807,0.2797216,0.2681632,0,28,28,0,28,,,1,8500,0,8500,4.296475,4.44805,0.2544629,0.2149514,0,,,1,27900,0,27900,2.385858,5.469529,0.4017442,0.4214531,1,,,2,28200,24890.16,45800,1.714294,5.004614,0.3047876,0.2929297,3,red,,,,,orange,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,100,110721,,,,,,,,,,1,7500,0,7500,14.47046,43.87695,0.2304617,0.1999231,0,12,12,0,12,,,1,6700,0,6700,24.46958,64.10505,0.6202779,0.4359228,0,8,8,0,8,,,1,22600,0,22600,31.04434,46.31212,43,43,0,43,1,62500,0,62500,33.56911,50.5022,129,129,0,129,1,9500,0,9500,12.91224,10.98189,0.6768503,0.5781792,0,17,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,